date,symbol,close_price
9/5/2023,BTC,"25,790.20"
9/4/2023,BTC,"25,823.30"
9/3/2023,BTC,"25,971.00"
9/2/2023,BTC,"25,869.70"
9/1/2023,BTC,"25,803.20"
08/31/2023,BTC,"25,937.30"
08/30/2023,BTC,"27,298.80"
08/29/2023,BTC,"27,723.90"
08/28/2023,BTC,"26,118.90"
08/27/2023,BTC,"26,100.60"
08/26/2023,BTC,"26,017.10"
08/25/2023,BTC,"26,057.20"
08/24/2023,BTC,"26,177.00"
08/23/2023,BTC,"26,436.20"
08/22/2023,BTC,"26,039.90"
08/21/2023,BTC,"26,126.00"
08/20/2023,BTC,"26,190.80"
08/19/2023,BTC,"26,099.40"
08/18/2023,BTC,"26,053.20"
08/17/2023,BTC,"26,635.70"
08/16/2023,BTC,"28,726.30"
08/15/2023,BTC,"29,195.30"
08/14/2023,BTC,"29,426.70"
08/13/2023,BTC,"29,300.10"
8/12/2023,BTC,"29,428.20"
8/11/2023,BTC,"29,420.80"
8/10/2023,BTC,"29,449.00"
8/9/2023,BTC,"29,578.00"
8/8/2023,BTC,"29,777.40"
8/7/2023,BTC,"29,204.20"
8/6/2023,BTC,"29,081.30"
8/5/2023,BTC,"29,068.10"
8/4/2023,BTC,"29,105.50"
8/3/2023,BTC,"29,189.30"
8/2/2023,BTC,"29,173.70"
8/1/2023,BTC,"29,712.20"
07/31/2023,BTC,"29,232.40"
07/30/2023,BTC,"29,281.70"
07/29/2023,BTC,"29,353.50"
07/28/2023,BTC,"29,315.00"
07/27/2023,BTC,"29,222.70"
07/26/2023,BTC,"29,352.20"
07/25/2023,BTC,"29,228.60"
07/24/2023,BTC,"29,178.10"
07/23/2023,BTC,"30,085.90"
07/22/2023,BTC,"29,788.90"
07/21/2023,BTC,"29,903.10"
07/20/2023,BTC,"29,801.00"
07/19/2023,BTC,"29,909.70"
07/18/2023,BTC,"29,866.80"
07/17/2023,BTC,"30,139.70"
07/16/2023,BTC,"30,235.50"
07/15/2023,BTC,"30,291.40"
07/14/2023,BTC,"30,317.40"
07/13/2023,BTC,"31,466.10"
7/12/2023,BTC,"30,387.30"
7/11/2023,BTC,"30,623.30"
7/10/2023,BTC,"30,415.30"
7/9/2023,BTC,"30,166.90"
7/8/2023,BTC,"30,288.80"
7/7/2023,BTC,"30,346.40"
7/6/2023,BTC,"29,913.10"
7/5/2023,BTC,"30,512.80"
7/4/2023,BTC,"30,768.40"
7/3/2023,BTC,"31,151.30"
7/2/2023,BTC,"30,617.70"
7/1/2023,BTC,"30,586.80"
06/30/2023,BTC,"30,472.90"
06/29/2023,BTC,"30,445.70"
06/28/2023,BTC,"30,078.60"
06/27/2023,BTC,"30,689.10"
06/26/2023,BTC,"30,267.00"
06/25/2023,BTC,"30,465.30"
06/24/2023,BTC,"30,533.60"
06/23/2023,BTC,"30,679.40"
06/22/2023,BTC,"29,890.50"
06/21/2023,BTC,"29,996.90"
06/20/2023,BTC,"28,307.70"
06/19/2023,BTC,"26,845.90"
06/18/2023,BTC,"26,339.70"
06/17/2023,BTC,"26,515.00"
06/16/2023,BTC,"26,341.30"
06/15/2023,BTC,"25,591.30"
06/14/2023,BTC,"25,129.50"
06/13/2023,BTC,"25,929.40"
6/12/2023,BTC,"25,906.80"
6/11/2023,BTC,"25,928.40"
6/10/2023,BTC,"25,844.00"
6/9/2023,BTC,"26,479.30"
6/8/2023,BTC,"26,501.10"
6/7/2023,BTC,"26,342.50"
6/6/2023,BTC,"27,230.20"
6/5/2023,BTC,"25,747.40"
6/4/2023,BTC,"27,122.30"
6/3/2023,BTC,"27,072.00"
6/2/2023,BTC,"27,244.70"
6/1/2023,BTC,"26,819.00"
05/31/2023,BTC,"27,216.10"
05/30/2023,BTC,"27,698.20"
05/29/2023,BTC,"27,739.40"
05/28/2023,BTC,"28,071.20"
05/27/2023,BTC,"26,857.50"
05/26/2023,BTC,"26,711.50"
05/25/2023,BTC,"26,475.80"
05/24/2023,BTC,"26,328.40"
05/23/2023,BTC,"27,220.70"
05/22/2023,BTC,"26,847.30"
05/21/2023,BTC,"26,749.90"
05/20/2023,BTC,"27,116.20"
05/19/2023,BTC,"26,882.90"
05/18/2023,BTC,"26,828.00"
05/17/2023,BTC,"27,403.10"
05/16/2023,BTC,"27,035.30"
05/15/2023,BTC,"27,183.90"
05/14/2023,BTC,"26,920.00"
05/13/2023,BTC,"26,777.50"
5/12/2023,BTC,"26,799.20"
5/11/2023,BTC,"26,983.50"
5/10/2023,BTC,"27,603.30"
5/9/2023,BTC,"27,634.90"
