datee,symbol,close_price,,,,,,,
2021-10-10,ETH,"3,415.03",,,,,,,
2021-10-10,BTC,"54,687.70",,,,,,,
2021-11-10,XRP,1.1922,,,,,,,
2021-11-10,SOL,233.686,,,,,,,
2021-11-10,ETH,"4,634.03",,,,,,,
2021-11-10,BTC,"64,932.60",,,,,,,
2021-12-10,XRP,0.7992,,,,,,,
2021-12-10,SOL,167.596,,,,,,,
2021-12-10,ETH,"3,903.48",,,,,,,
2021-12-10,BTC,"47,137.20",,,,,,,
2021-01-11,XRP,0.2875,,,,,,,
2021-01-11,SOL,3.107,,,,,,,
2021-01-11,ETH,"1,091.47",,,,,,,
2021-01-11,BTC,"35,544.30",,,,,,,
2021-02-11,XRP,0.5282,,,,,,,
2021-02-11,SOL,9.185,,,,,,,
2021-02-11,ETH,"1,786.35",,,,,,,
2021-02-11,BTC,"47,990.70",,,,,,,
2021-03-11,XRP,0.4516,,,,,,,
2021-03-11,SOL,15.987,,,,,,,
2021-03-11,ETH,"1,825.79",,,,,,,
2021-03-11,BTC,"57,799.50",,,,,,,
2021-04-11,XRP,1.355,,,,,,,
2021-04-11,SOL,27.812,,,,,,,
2021-04-11,ETH,"2,151.42",,,,,,,
2021-04-11,BTC,"59,978.70",,,,,,,
2021-05-11,XRP,1.478,,,,,,,
2021-05-11,SOL,44.622,,,,,,,
2021-05-11,ETH,"4,167.78",,,,,,,
2021-05-11,BTC,"56,695.70",,,,,,,
2021-06-11,XRP,0.8475,,,,,,,
2021-06-11,SOL,36.012,,,,,,,
2021-06-11,ETH,"2,351.45",,,,,,,
2021-06-11,BTC,"37,314.60",,,,,,,
2021-07-11,XRP,0.6361,,,,,,,
2021-07-11,SOL,32.115,,,,,,,
2021-07-11,ETH,"2,139.35",,,,,,,
2021-07-11,BTC,"34,227.70",,,,,,,
2021-08-11,XRP,1.0123,,,,,,,
2021-08-11,SOL,41.792,,,,,,,
2021-08-11,ETH,"3,163.66",,,,,,,
2021-08-11,BTC,"45,564.30",,,,,,,
2021-09-11,XRP,1.0788,,,,,,,
2021-09-11,SOL,178.35,,,,,,,
2021-09-11,ETH,"3,267.33",,,,,,,
2021-09-11,BTC,"45,161.90",,,,,,,
2021-10-11,XRP,1.1377,,,,,,,
2021-10-11,SOL,144.889,,,,,,,
2021-10-11,ETH,"3,545.06",,,,,,,
2021-10-11,BTC,"57,477.30",,,,,,,
2021-11-11,XRP,1.215,,,,,,,
2021-11-11,SOL,233.576,,,,,,,
2021-11-11,ETH,"4,720.87",,,,,,,
2021-11-11,BTC,"64,806.70",,,,,,,
2021-12-11,XRP,0.8372,,,,,,,
2021-12-11,SOL,171.728,,,,,,,
2021-12-11,ETH,"4,075.66",,,,,,,
2021-12-11,BTC,"49,314.50",,,,,,,
2021-01-12,XRP,0.2925,,,,,,,
2021-01-12,SOL,3.631,,,,,,,
2021-01-12,ETH,"1,050.19",,,,,,,
2021-01-12,BTC,"34,076.10",,,,,,,
2021-02-12,XRP,0.6089,,,,,,,
2021-02-12,SOL,9.21,,,,,,,
2021-02-12,ETH,"1,841.02",,,,,,,
2021-02-12,BTC,"47,371.70",,,,,,,
2021-03-12,XRP,0.4394,,,,,,,
2021-03-12,SOL,14.552,,,,,,,
2021-03-12,ETH,"1,766.90",,,,,,,
2021-03-12,BTC,"57,265.10",,,,,,,
2021-04-12,XRP,1.4677,,,,,,,
2021-04-12,SOL,28.547,,,,,,,
2021-04-12,ETH,"2,137.81",,,,,,,
2021-04-12,BTC,"59,863.80",,,,,,,
2021-05-12,XRP,1.2683,,,,,,,
2021-05-12,SOL,43.017,,,,,,,
2021-05-12,ETH,"3,811.77",,,,,,,
2021-05-12,BTC,"49,384.20",,,,,,,
2021-06-12,XRP,0.8312,,,,,,,
2021-06-12,SOL,36.402,,,,,,,
2021-06-12,ETH,"2,368.47",,,,,,,
2021-06-12,BTC,"35,467.50",,,,,,,
2021-07-12,XRP,0.629,,,,,,,
2021-07-12,SOL,30.88,,,,,,,
2021-07-12,ETH,"2,035.09",,,,,,,
2021-07-12,BTC,"33,113.00",,,,,,,
2021-08-12,XRP,0.9647,,,,,,,
2021-08-12,SOL,41.1,,,,,,,
2021-08-12,ETH,"3,043.61",,,,,,,
2021-08-12,BTC,"44,403.40",,,,,,,
2021-09-12,XRP,1.1192,,,,,,,
2021-09-12,SOL,174.37,,,,,,,
2021-09-12,ETH,"3,408.28",,,,,,,
2021-09-12,BTC,"46,062.30",,,,,,,
2021-10-12,XRP,1.1007,,,,,,,
2021-10-12,SOL,152.518,,,,,,,
2021-10-12,ETH,"3,489.90",,,,,,,
2021-10-12,BTC,"56,015.90",,,,,,,
2021-11-12,XRP,1.1884,,,,,,,
2021-11-12,SOL,228.551,,,,,,,
2021-11-12,ETH,"4,667.31",,,,,,,
2021-11-12,BTC,"64,134.50",,,,,,,
2021-12-12,XRP,0.8399,,,,,,,
2021-12-12,SOL,172.924,,,,,,,
2021-12-12,ETH,"4,131.78",,,,,,,
2021-12-12,BTC,"50,081.00",,,,,,,
2022-01-01,XRP,0.85,,,,,,,
2022-01-01,SOL,179.068,,,,,,,
2022-01-01,ETH,"3,765.67",,,,,,,
